szemaz	nev
440	Hazay István
444	Házi Árpád
445	Házy Erzsébet
446	Heckenast Gusztáv
447	Hegyi Barnabás
448	Heinrich Kálmán
449	Heller László
450	Heltai Jenő
451	Hencze Tamás
452	Herke Sándor
453	Hernádi Gyula
454	Hernádi Lajos
455	Herold Sándor
456	Herskó János
457	Hetényi Géza
458	Hevesi Gyula
459	Hidas Antal
460	Hidasi István
461	Hincz Gyula
462	Hodek József
489	Hódmezővásárhelyi Dózsa Termelőszövetkezeti Csoport
463	Hoffmann Ferenc
464	Hoffmann Sándor
465	Hofgard Károly
466	Hofi Géza
467	Holló Aurél
468	Holló László
469	Homoki Nagy István
470	Homoróczky Imre
471	Hont Ferenc
472	Honthy Hanna
473	Hornicsek László
474	Horvai István
1389	Horváth Ádám
475	Horváth Ede
476	Horváth István
477	Horváth István
478	Horváth János
479	Horváth János
480	Horváth János
481	Horváth Jánosné
482	Horváth József
483	Horváth József
1410	Horváth Kornél
484	Horváth László
485	Horváth Sándor
486	Horváth Teri
487	Hosnyánszky János
488	Hosszúpályi Petőfi Tszcs.
490	Hubay Miklós
491	Huszák István
492	Huszárik Zoltán
493	Huszka Ernőné
494	Huszti Péter
495	Husztics Lajos
496	Huzella Péter
497	Ibrányi Földmívesszövetkezet
1401	ifj. Sánta Ferenc
498	Iglódi István
499	Ignácz Pál
500	Illés Béla
501	Illés Endre
502	Illés György
503	Illés Lajos
504	Illyés Gyula
505	Ilosfalvy Róbert
506	Imre István festő
507	Issekutz Béla
508	Ivánovics György
509	Iványi János
510	Iványi József
520	Jáky József
521	Jámbor László
511	Jancsó Adrienne
512	Jancsó Miklós
513	Jancsó Miklós
514	Jandó Jenő
515	Janikovszky Éva
516	Jankovich Ferenc
517	Jankovics Marcell
518	Janosik János
522	Jánossy Lajos
519	Jantsky Béla
523	Járdányi Pál
524	Jávorka Sándor
528	Jékely Zoltán
1411	Jeles András
525	Jenei Lajos
526	Jeney Endre
527	Jeney Zoltán
529	Jodál Sándor
530	Jókai Anna
531	Jónás Gyuláné
532	Jónás Lajos
533	Jordán Károly
534	Jordán Tamás
535	Jovánovics György
536	József Attila
537	Juhász Ferenc
538	Juhász József
539	Julesz Miklós
540	Jurcsik Károly
541	Jurics Károly
542	Kacsó Sándor
567	Kádár György
543	Kadocsa Gyula
544	Kadosa Pál
545	Kaesz Gyula
